entity_id,name,role,department,person_id,room_id,timestamp,hour,day,weekday,next_room
E100075,Sana Malhotra,student,Maths,S10053,GYM,2025-09-07 18:02:40,18,7,6,LAB_2
E100075,Sana Malhotra,student,Maths,S10053,LAB_2,2025-09-16 03:20:00,3,16,1,LIB_2
E103111,Neha Singh,student,Physics,S10055,ADMIN_5,2025-08-28 10:22:50,10,28,3,GYM
E103111,Neha Singh,student,Physics,S10055,GYM,2025-08-31 10:51:47,10,31,6,LIB_4
E103111,Neha Singh,student,Physics,S10055,LIB_4,2025-09-05 09:28:31,9,5,4,HOSTEL_5
E103111,Neha Singh,student,Physics,S10055,HOSTEL_5,2025-09-06 09:52:49,9,6,5,GYM
E103111,Neha Singh,student,Physics,S10055,GYM,2025-09-12 12:22:50,12,12,4,AUD_2
E103111,Neha Singh,student,Physics,S10055,AUD_2,2025-09-21 04:00:00,4,21,6,HOSTEL_3
E102655,Karan Kumar,student,CIVIL,S10074,LAB_102,2025-08-27 00:01:00,0,27,2,LAB_102
E102655,Karan Kumar,student,CIVIL,S10074,LAB_102,2025-08-27 01:22:00,1,27,2,LIB_3
E102655,Karan Kumar,student,CIVIL,S10074,LIB_3,2025-09-03 14:12:39,14,3,2,LAB_102
E102655,Karan Kumar,student,CIVIL,S10074,LAB_102,2025-09-25 01:17:00,1,25,3,LAB_102
E102535,Priya Gupta,student,CIVIL,S10078,LAB_101,2025-08-27 08:32:34,8,27,2,LIB_3
E102535,Priya Gupta,student,CIVIL,S10078,LIB_3,2025-08-27 11:57:49,11,27,2,CAF
E102535,Priya Gupta,student,CIVIL,S10078,CAF,2025-09-11 08:33:34,8,11,3,LIB_2
E102942,Aarav Kumar,student,Maths,S10085,GYM,2025-09-05 04:34:00,4,5,4,LIB_ENT
E104183,Aarav Sharma,student,Physics,S10142,HOSTEL_3,2025-08-31 14:43:00,14,31,6,LAB_5
E104183,Aarav Sharma,student,Physics,S10142,LAB_5,2025-09-09 02:03:00,2,9,1,ADMIN_3
E104183,Aarav Sharma,student,Physics,S10142,ADMIN_3,2025-09-12 12:30:00,12,12,4,AUD_1
E104183,Aarav Sharma,student,Physics,S10142,AUD_1,2025-09-14 01:35:00,1,14,6,LIB_ENT
E106564,Rohan Singh,student,CSE,S10215,LAB_102,2025-09-06 17:55:00,17,6,5,LAB_102
E106564,Rohan Singh,student,CSE,S10215,LAB_102,2025-09-06 19:55:00,19,6,5,LIB_1
E106564,Rohan Singh,student,CSE,S10215,LIB_1,2025-09-07 18:30:38,18,7,6,LIB_5
E106564,Rohan Singh,student,CSE,S10215,LIB_5,2025-09-07 23:36:09,23,7,6,CAF
E106564,Rohan Singh,student,CSE,S10215,CAF,2025-09-08 15:31:00,15,8,0,LIB_2
E103519,Karan Mehta,student,MECH,S10279,CAF,2025-08-29 08:17:00,8,29,4,LIB_ENT
E103519,Karan Mehta,student,MECH,S10279,LIB_ENT,2025-09-01 11:37:20,11,1,0,CAF
E103519,Karan Mehta,student,MECH,S10279,CAF,2025-09-05 23:41:00,23,5,4,LIB_2
E103519,Karan Mehta,student,MECH,S10279,LIB_2,2025-09-06 13:49:13,13,6,5,CAF
E103519,Karan Mehta,student,MECH,S10279,CAF,2025-09-08 01:36:00,1,8,0,LIB_5
E103519,Karan Mehta,student,MECH,S10279,LIB_5,2025-09-13 10:05:44,10,13,5,ENG
E103519,Karan Mehta,student,MECH,S10279,ENG,2025-09-14 05:03:00,5,14,6,LAB_305
E103519,Karan Mehta,student,MECH,S10279,LAB_305,2025-09-16 12:48:00,12,16,1,LAB_305
E103519,Karan Mehta,student,MECH,S10279,LAB_305,2025-09-16 13:45:00,13,16,1,LIB_4
E100675,Divya Rao,student,CIVIL,S10287,LAB_305,2025-08-27 07:03:49,7,27,2,LIB_ENT
E100675,Divya Rao,student,CIVIL,S10287,LIB_ENT,2025-09-05 03:27:25,3,5,4,HOSTEL_5
E100675,Divya Rao,student,CIVIL,S10287,HOSTEL_5,2025-09-08 06:51:00,6,8,0,ROOM_A2
E100675,Divya Rao,student,CIVIL,S10287,ROOM_A2,2025-09-19 04:12:00,4,19,4,ROOM_A2
E100675,Divya Rao,student,CIVIL,S10287,ROOM_A2,2025-09-19 05:34:00,5,19,4,LIB_1
E100675,Divya Rao,student,CIVIL,S10287,LIB_1,2025-09-24 12:27:56,12,24,2,LAB_101
E104923,Divya Kumar,student,Physics,S10331,GYM,2025-08-30 13:37:00,13,30,5,LAB_102
E104923,Divya Kumar,student,Physics,S10331,LAB_102,2025-08-31 05:05:00,5,31,6,LAB_102
E104923,Divya Kumar,student,Physics,S10331,LAB_102,2025-08-31 05:43:00,5,31,6,LIB_2
E104923,Divya Kumar,student,Physics,S10331,LIB_2,2025-09-04 23:15:27,23,4,3,LIB_1
E104923,Divya Kumar,student,Physics,S10331,LIB_1,2025-09-05 01:35:30,1,5,4,LIB_3
E104923,Divya Kumar,student,Physics,S10331,LIB_3,2025-09-10 12:11:49,12,10,2,ENG
E104923,Divya Kumar,student,Physics,S10331,ENG,2025-09-10 20:36:00,20,10,2,LAB_305
E104923,Divya Kumar,student,Physics,S10331,LAB_305,2025-09-19 18:22:00,18,19,4,LAB_305
E104990,Karan Sharma,student,BIO,S10338,ENG,2025-09-05 02:46:00,2,5,4,LIB_ENT
E104990,Karan Sharma,student,BIO,S10338,LIB_ENT,2025-09-07 06:04:00,6,7,6,LIB_5
E106499,Aarav Gupta,student,BIO,S10344,HOSTEL_4,2025-09-05 08:51:00,8,5,4,HOSTEL_2
E106499,Aarav Gupta,student,BIO,S10344,HOSTEL_2,2025-09-09 12:14:00,12,9,1,HOSTEL_4
E106797,Ananya Patel,student,EEE,S10348,ROOM_A1,2025-09-20 15:04:00,15,20,5,ROOM_A1
E106320,Divya Kumar,student,Chemistry,S10359_1,LAB_102,2025-09-04 01:37:00,1,4,3,LAB_102
E106320,Divya Kumar,student,Chemistry,S10359_1,LAB_102,2025-09-04 03:22:00,3,4,3,LIB_1
E100194,Priya Patel,student,Admin,S10371,LIB_2,2025-08-27 10:28:00,10,27,2,LIB_3
E100194,Priya Patel,student,Admin,S10371,LIB_3,2025-08-29 07:40:00,7,29,4,ADMIN_2
E100194,Priya Patel,student,Admin,S10371,ADMIN_2,2025-08-31 00:54:00,0,31,6,LAB_305
E100194,Priya Patel,student,Admin,S10371,LAB_305,2025-09-09 13:34:48,13,9,1,SEM_01
E100194,Priya Patel,student,Admin,S10371,SEM_01,2025-09-10 00:06:00,0,10,2,SEM_01
E100194,Priya Patel,student,Admin,S10371,SEM_01,2025-09-10 00:56:00,0,10,2,LAB_305
E100194,Priya Patel,student,Admin,S10371,LAB_305,2025-09-24 17:05:16,17,24,2,ROOM_A2
E100194,Priya Patel,student,Admin,S10371,ROOM_A2,2025-09-24 18:27:00,18,24,2,ROOM_A2
E101543,Sana Gupta,student,CIVIL,S10410,LIB_ENT,2025-09-05 15:07:32,15,5,4,CAF
E101543,Sana Gupta,student,CIVIL,S10410,CAF,2025-09-06 08:58:19,8,6,5,LIB_1
E101543,Sana Gupta,student,CIVIL,S10410,LIB_1,2025-09-11 17:33:32,17,11,3,LIB_3
E101543,Sana Gupta,student,CIVIL,S10410,LIB_3,2025-09-17 13:44:00,13,17,2,GYM
E106101,Ananya Patel,student,MECH,S10425,LIB_3,2025-09-19 14:02:12,14,19,4,AUD_1
E100375,Ishaan Desai,student,CIVIL,S10455,LIB_ENT,2025-08-27 07:40:00,7,27,2,AUD_4
E100375,Ishaan Desai,student,CIVIL,S10455,AUD_4,2025-08-28 15:29:00,15,28,3,AUD_5
E100375,Ishaan Desai,student,CIVIL,S10455,AUD_5,2025-08-28 17:42:00,17,28,3,AUD_3
E100375,Ishaan Desai,student,CIVIL,S10455,AUD_3,2025-09-01 12:17:00,12,1,0,LIB_3
E100375,Ishaan Desai,student,CIVIL,S10455,LIB_3,2025-09-05 21:57:33,21,5,4,LIB_ENT
E102439,Rohan Rao,student,ECE,S10503,LAB_101,2025-08-27 03:24:00,3,27,2,CAF
E102439,Rohan Rao,student,ECE,S10503,CAF,2025-08-27 15:03:00,15,27,2,ADMIN_1
E102439,Rohan Rao,student,ECE,S10503,ADMIN_1,2025-08-29 05:03:46,5,29,4,GYM
E102439,Rohan Rao,student,ECE,S10503,GYM,2025-09-03 07:31:39,7,3,2,HOSTEL_4
E102439,Rohan Rao,student,ECE,S10503,HOSTEL_4,2025-09-06 16:57:57,16,6,5,LAB_101
E102439,Rohan Rao,student,ECE,S10503,LAB_101,2025-09-06 20:18:32,20,6,5,ADMIN_5
E103521,Ishaan Desai,student,ECE,S10504,LAB_101,2025-08-29 15:48:00,15,29,4,SEM_01
E103521,Ishaan Desai,student,ECE,S10504,SEM_01,2025-09-01 11:21:00,11,1,0,SEM_01
E103521,Ishaan Desai,student,ECE,S10504,SEM_01,2025-09-01 11:55:00,11,1,0,CAF
E103521,Ishaan Desai,student,ECE,S10504,CAF,2025-09-01 17:50:00,17,1,0,LIB_1
E103521,Ishaan Desai,student,ECE,S10504,LIB_1,2025-09-15 10:18:22,10,15,0,LIB_1
E106414,Karan Patel,student,CSE,S10505,ROOM_A2,2025-09-15 11:12:00,11,15,0,ROOM_A2
E106414,Karan Patel,student,CSE,S10505,ROOM_A2,2025-09-15 12:35:00,12,15,0,LIB_1
E104860,Priya Iyer,student,ECE,S10508,LAB_1,2025-09-09 05:19:00,5,9,1,LIB_1
E104860,Priya Iyer,student,ECE,S10508,LIB_1,2025-09-13 19:54:49,19,13,5,LIB_ENT
E104860,Priya Iyer,student,ECE,S10508,LIB_ENT,2025-09-14 16:57:00,16,14,6,GYM
E104860,Priya Iyer,student,ECE,S10508,GYM,2025-09-21 16:53:00,16,21,6,LAB_305
E106691,Priya Kumar,student,MECH,S10521,ADMIN_5,2025-09-01 06:43:00,6,1,0,HOSTEL_5
E106691,Priya Kumar,student,MECH,S10521,HOSTEL_5,2025-09-01 11:36:00,11,1,0,LAB_101
E106691,Priya Kumar,student,MECH,S10521,LAB_101,2025-09-04 11:11:00,11,4,3,LAB_101
E106691,Priya Kumar,student,MECH,S10521,LAB_101,2025-09-04 13:17:00,13,4,3,GYM
E106691,Priya Kumar,student,MECH,S10521,GYM,2025-09-06 00:14:27,0,6,5,LAB_101
E106691,Priya Kumar,student,MECH,S10521,LAB_101,2025-09-09 11:56:07,11,9,1,LIB_2
E106691,Priya Kumar,student,MECH,S10521,LIB_2,2025-09-09 15:27:01,15,9,1,ADMIN_2
E106691,Priya Kumar,student,MECH,S10521,ADMIN_2,2025-09-10 19:54:15,19,10,2,LIB_ENT
E106522,Rohan Sharma,student,Maths,S10550,LIB_ENT,2025-09-02 15:53:54,15,2,1,HOSTEL_2
E106522,Rohan Sharma,student,Maths,S10550,HOSTEL_2,2025-09-06 03:56:28,3,6,5,LAB_305
E106522,Rohan Sharma,student,Maths,S10550,LAB_305,2025-09-12 08:12:01,8,12,4,LIB_ENT
E102702,Priya Malhotra,student,EEE,S10561,LIB_2,2025-08-27 12:25:10,12,27,2,ADMIN_3
E102702,Priya Malhotra,student,EEE,S10561,ADMIN_3,2025-08-31 02:10:56,2,31,6,LIB_3
E102702,Priya Malhotra,student,EEE,S10561,LIB_3,2025-09-01 13:45:59,13,1,0,LIB_ENT
E102702,Priya Malhotra,student,EEE,S10561,LIB_ENT,2025-09-05 05:57:29,5,5,4,LIB_2
E105916,Priya Rao,student,BIO,S10573,ENG,2025-09-07 05:28:00,5,7,6,LAB_102
E105916,Priya Rao,student,BIO,S10573,LAB_102,2025-09-13 08:41:00,8,13,5,LIB_ENT
E105916,Priya Rao,student,BIO,S10573,LIB_ENT,2025-09-13 09:27:04,9,13,5,LAB_102
E104020,Rohan Sharma,student,CSE,S10579,CAF,2025-08-30 20:48:00,20,30,5,LAB_101
E104020,Rohan Sharma,student,CSE,S10579,LAB_101,2025-09-02 08:49:36,8,2,1,LAB_2
E104020,Rohan Sharma,student,CSE,S10579,LAB_2,2025-09-02 09:50:00,9,2,1,LAB_5
E104020,Rohan Sharma,student,CSE,S10579,LAB_5,2025-09-07 23:09:00,23,7,6,LIB_5
E104020,Rohan Sharma,student,CSE,S10579,LIB_5,2025-09-08 18:59:54,18,8,0,LAB_101
E104020,Rohan Sharma,student,CSE,S10579,LAB_101,2025-09-10 09:46:00,9,10,2,LAB_305
E104020,Rohan Sharma,student,CSE,S10579,LAB_305,2025-09-10 11:53:00,11,10,2,LAB_101
E104020,Rohan Sharma,student,CSE,S10579,LAB_101,2025-09-10 11:53:00,11,10,2,LAB_305
E104020,Rohan Sharma,student,CSE,S10579,LAB_305,2025-09-10 13:47:00,13,10,2,ROOM_A1
E104020,Rohan Sharma,student,CSE,S10579,ROOM_A1,2025-09-22 15:39:00,15,22,0,ROOM_A1
E103230,Karan Malhotra,student,CSE,S10603,LIB_1,2025-09-09 07:23:17,7,9,1,LIB_ENT
E101805,Siddharth Mehta,student,Admin,S10609,LAB_101,2025-08-30 10:16:00,10,30,5,LAB_101
E101805,Siddharth Mehta,student,Admin,S10609,LAB_101,2025-08-30 12:38:00,12,30,5,LAB_305
E101805,Siddharth Mehta,student,Admin,S10609,LAB_305,2025-08-31 04:43:45,4,31,6,CAF
E101805,Siddharth Mehta,student,Admin,S10609,CAF,2025-09-01 07:18:29,7,1,0,LAB_305
E101805,Siddharth Mehta,student,Admin,S10609,LAB_305,2025-09-02 02:02:39,2,2,1,LIB_3
E101805,Siddharth Mehta,student,Admin,S10609,LIB_3,2025-09-04 18:21:02,18,4,3,AUD_3
E101805,Siddharth Mehta,student,Admin,S10609,AUD_3,2025-09-11 05:52:00,5,11,3,LAB_305
E104412,Siddharth Sharma,student,Maths,S10624,CAF,2025-08-27 08:50:00,8,27,2,LIB_2
E104412,Siddharth Sharma,student,Maths,S10624,LIB_2,2025-08-28 20:38:54,20,28,3,LAB_101
E104412,Siddharth Sharma,student,Maths,S10624,LAB_101,2025-08-31 16:02:18,16,31,6,ENG
E104412,Siddharth Sharma,student,Maths,S10624,ENG,2025-09-04 21:28:00,21,4,3,ADMIN_3
E104412,Siddharth Sharma,student,Maths,S10624,ADMIN_3,2025-09-06 05:01:00,5,6,5,LAB_305
E104412,Siddharth Sharma,student,Maths,S10624,LAB_305,2025-09-07 07:18:00,7,7,6,LAB_305
E104412,Siddharth Sharma,student,Maths,S10624,LAB_305,2025-09-07 08:31:00,8,7,6,LAB_3
E104412,Siddharth Sharma,student,Maths,S10624,LAB_3,2025-09-11 04:07:00,4,11,3,AUD_5
E104412,Siddharth Sharma,student,Maths,S10624,AUD_5,2025-09-13 23:44:00,23,13,5,LAB_101
E104412,Siddharth Sharma,student,Maths,S10624,LAB_101,2025-09-23 21:27:24,21,23,1,LAB_5
E105437,Ishaan Rao,student,Physics,S10628,LIB_2,2025-09-01 06:19:55,6,1,0,AUD_3
E105437,Ishaan Rao,student,Physics,S10628,AUD_3,2025-09-09 11:18:00,11,9,1,LAB_3
E105437,Ishaan Rao,student,Physics,S10628,LAB_3,2025-09-15 11:18:00,11,15,0,SEM_01
E105437,Ishaan Rao,student,Physics,S10628,SEM_01,2025-09-19 18:30:00,18,19,4,SEM_01
E105437,Ishaan Rao,student,Physics,S10628,SEM_01,2025-09-19 19:05:00,19,19,4,ROOM_A2
E105437,Ishaan Rao,student,Physics,S10628,ROOM_A2,2025-09-23 13:13:00,13,23,1,ROOM_A2
E103020,Priya Mehta,student,CIVIL,S10643,LIB_ENT,2025-08-30 18:01:36,18,30,5,ROOM_A1
E103020,Priya Mehta,student,CIVIL,S10643,ROOM_A1,2025-09-01 04:48:00,4,1,0,ROOM_A1
E103020,Priya Mehta,student,CIVIL,S10643,ROOM_A1,2025-09-01 05:52:00,5,1,0,AUD_4
E103020,Priya Mehta,student,CIVIL,S10643,AUD_4,2025-09-04 10:33:00,10,4,3,LIB_2
E103020,Priya Mehta,student,CIVIL,S10643,LIB_2,2025-09-09 14:00:22,14,9,1,HOSTEL_1
E103020,Priya Mehta,student,CIVIL,S10643,HOSTEL_1,2025-09-15 12:23:14,12,15,0,CAF
E103020,Priya Mehta,student,CIVIL,S10643,CAF,2025-09-21 01:45:45,1,21,6,LAB_2
E102865,Neha Singh,student,Maths,S10649,LAB_101,2025-08-29 04:07:39,4,29,4,ENG
E102865,Neha Singh,student,Maths,S10649,ENG,2025-09-07 00:36:00,0,7,6,LAB_305
E102865,Neha Singh,student,Maths,S10649,LAB_305,2025-09-09 14:52:00,14,9,1,AUD_5
E102865,Neha Singh,student,Maths,S10649,AUD_5,2025-09-11 00:07:00,0,11,3,ADMIN_1
E102865,Neha Singh,student,Maths,S10649,ADMIN_1,2025-09-12 03:43:55,3,12,4,AUD_5
E104425,Karan Desai,student,Chemistry,S10649_1,ADMIN_2,2025-09-13 04:27:00,4,13,5,ENG
E104303,Siddharth Iyer,student,Physics,S10652,CAF,2025-08-29 18:04:06,18,29,4,ADMIN_3
E104303,Siddharth Iyer,student,Physics,S10652,ADMIN_3,2025-08-31 11:17:00,11,31,6,LIB_3
E104303,Siddharth Iyer,student,Physics,S10652,LIB_3,2025-09-01 14:24:43,14,1,0,LIB_3
E104303,Siddharth Iyer,student,Physics,S10652,LIB_3,2025-09-09 06:05:05,6,9,1,ROOM_A1
E104303,Siddharth Iyer,student,Physics,S10652,ROOM_A1,2025-09-20 23:38:00,23,20,5,ROOM_A1
E104303,Siddharth Iyer,student,Physics,S10652,ROOM_A1,2025-09-21 01:05:00,1,21,6,ROOM_A1
E104303,Siddharth Iyer,student,Physics,S10652,ROOM_A1,2025-09-23 02:51:00,2,23,1,ROOM_A1
E104303,Siddharth Iyer,student,Physics,S10652,ROOM_A1,2025-09-23 03:56:00,3,23,1,HOSTEL_2
E100424,Karan Patel,student,ECE,S10680,LIB_2,2025-09-03 12:59:29,12,3,2,SEM_01
E100424,Karan Patel,student,ECE,S10680,SEM_01,2025-09-05 23:51:00,23,5,4,SEM_01
E100424,Karan Patel,student,ECE,S10680,SEM_01,2025-09-06 02:28:00,2,6,5,LIB_ENT
E100424,Karan Patel,student,ECE,S10680,LIB_ENT,2025-09-12 16:07:00,16,12,4,LAB_1
E100424,Karan Patel,student,ECE,S10680,LAB_1,2025-09-16 00:43:00,0,16,1,ROOM_A1
E100424,Karan Patel,student,ECE,S10680,ROOM_A1,2025-09-18 08:00:00,8,18,3,ROOM_A1
E100424,Karan Patel,student,ECE,S10680,ROOM_A1,2025-09-18 09:29:00,9,18,3,HOSTEL_5
E100424,Karan Patel,student,ECE,S10680,HOSTEL_5,2025-09-23 12:31:00,12,23,1,ENG
E100766,Sana Kumar,student,CIVIL,S10716,ADMIN_2,2025-09-01 10:48:37,10,1,0,LIB_1
E100766,Sana Kumar,student,CIVIL,S10716,LIB_1,2025-09-01 15:03:44,15,1,0,LIB_5
E100766,Sana Kumar,student,CIVIL,S10716,LIB_5,2025-09-03 05:33:26,5,3,2,LIB_3
E102046,Karan Sharma,student,ECE,S10734,ROOM_A2,2025-08-29 21:57:00,21,29,4,ROOM_A2
E102046,Karan Sharma,student,ECE,S10734,ROOM_A2,2025-08-29 23:09:00,23,29,4,ENG
E102046,Karan Sharma,student,ECE,S10734,ENG,2025-08-30 18:54:00,18,30,5,ADMIN_5
E102046,Karan Sharma,student,ECE,S10734,ADMIN_5,2025-09-08 08:22:00,8,8,0,HOSTEL_1
E102046,Karan Sharma,student,ECE,S10734,HOSTEL_1,2025-09-08 14:44:04,14,8,0,ADMIN_1
E102046,Karan Sharma,student,ECE,S10734,ADMIN_1,2025-09-10 09:36:26,9,10,2,GYM
E102046,Karan Sharma,student,ECE,S10734,GYM,2025-09-14 07:56:37,7,14,6,GYM
E102046,Karan Sharma,student,ECE,S10734,GYM,2025-09-16 08:09:00,8,16,1,LIB_5
E102046,Karan Sharma,student,ECE,S10734,LIB_5,2025-09-18 11:18:05,11,18,3,GYM
E102046,Karan Sharma,student,ECE,S10734,GYM,2025-09-20 09:41:19,9,20,5,LAB_305
E102046,Karan Sharma,student,ECE,S10734,LAB_305,2025-09-20 12:19:49,12,20,5,ADMIN_4
E102046,Karan Sharma,student,ECE,S10734,ADMIN_4,2025-09-23 18:08:00,18,23,1,LIB_ENT
E100699,Rohan Sharma,student,EEE,S10739,LIB_5,2025-09-01 09:56:40,9,1,0,ADMIN_1
E102554,Neha Singh,student,CIVIL,S10746,LAB_3,2025-09-07 07:07:00,7,7,6,LAB_101
E102554,Neha Singh,student,CIVIL,S10746,LAB_101,2025-09-10 19:38:00,19,10,2,LAB_2
E102554,Neha Singh,student,CIVIL,S10746,LAB_2,2025-09-20 07:11:00,7,20,5,LAB_2
E102554,Neha Singh,student,CIVIL,S10746,LAB_2,2025-09-21 14:51:00,14,21,6,CAF
E102554,Neha Singh,student,CIVIL,S10746,CAF,2025-09-23 04:59:09,4,23,1,LAB_305
E101628,Divya Sharma,student,Physics,S10761,LAB_305,2025-09-05 05:09:47,5,5,4,AUD_3
E101628,Divya Sharma,student,Physics,S10761,AUD_3,2025-09-13 10:12:00,10,13,5,ROOM_A1
E101628,Divya Sharma,student,Physics,S10761,ROOM_A1,2025-09-14 21:02:00,21,14,6,ROOM_A1
E104464,Siddharth Desai,student,BIO,S10761_1,LIB_2,2025-09-02 16:32:30,16,2,1,LIB_5
E106635,Siddharth Patel,student,Admin,S10773,LIB_3,2025-08-30 21:44:35,21,30,5,LIB_2
E106635,Siddharth Patel,student,Admin,S10773,LIB_2,2025-09-02 06:07:26,6,2,1,LAB_305
E106635,Siddharth Patel,student,Admin,S10773,LAB_305,2025-09-04 05:26:00,5,4,3,LAB_305
E106635,Siddharth Patel,student,Admin,S10773,LAB_305,2025-09-04 08:17:00,8,4,3,AUD_3
E106635,Siddharth Patel,student,Admin,S10773,AUD_3,2025-09-04 11:26:00,11,4,3,AUD_5
E103579,Neha Singh,student,BIO,S10800,LAB_101,2025-08-29 03:44:07,3,29,4,LAB_101
E103579,Neha Singh,student,BIO,S10800,LAB_101,2025-08-30 13:01:01,13,30,5,ROOM_A1
E103579,Neha Singh,student,BIO,S10800,ROOM_A1,2025-09-06 05:21:00,5,6,5,ROOM_A1
E103579,Neha Singh,student,BIO,S10800,ROOM_A1,2025-09-06 05:57:00,5,6,5,SEM_01
E103579,Neha Singh,student,BIO,S10800,SEM_01,2025-09-11 03:19:00,3,11,3,SEM_01
E103579,Neha Singh,student,BIO,S10800,SEM_01,2025-09-11 05:33:00,5,11,3,HOSTEL_4
E103579,Neha Singh,student,BIO,S10800,HOSTEL_4,2025-09-15 03:51:00,3,15,0,LAB_305
E103579,Neha Singh,student,BIO,S10800,LAB_305,2025-09-16 09:21:00,9,16,1,LAB_305
E103579,Neha Singh,student,BIO,S10800,LAB_305,2025-09-16 11:14:00,11,16,1,LIB_ENT
E103289,Ananya Sharma,student,Maths,S10802,LAB_102,2025-08-30 13:22:00,13,30,5,LAB_102
E103289,Ananya Sharma,student,Maths,S10802,LAB_102,2025-08-30 14:53:00,14,30,5,GYM
E103289,Ananya Sharma,student,Maths,S10802,GYM,2025-09-06 01:55:02,1,6,5,LIB_ENT
E103289,Ananya Sharma,student,Maths,S10802,LIB_ENT,2025-09-15 20:32:51,20,15,0,AUD_1
E103289,Ananya Sharma,student,Maths,S10802,AUD_1,2025-09-19 05:26:00,5,19,4,AUD_5
E103289,Ananya Sharma,student,Maths,S10802,AUD_5,2025-09-19 08:04:00,8,19,4,LIB_5
E103289,Ananya Sharma,student,Maths,S10802,LIB_5,2025-09-20 14:52:38,14,20,5,LIB_3
E103289,Ananya Sharma,student,Maths,S10802,LIB_3,2025-09-23 02:56:32,2,23,1,ROOM_A1
E103289,Ananya Sharma,student,Maths,S10802,ROOM_A1,2025-09-24 22:54:00,22,24,2,ROOM_A1
E106340,Ananya Gupta,student,EEE,S10814,ADMIN_1,2025-08-27 01:39:00,1,27,2,CAF
E106340,Ananya Gupta,student,EEE,S10814,CAF,2025-09-15 22:09:00,22,15,0,SEM_01
E106340,Ananya Gupta,student,EEE,S10814,SEM_01,2025-09-24 14:38:00,14,24,2,SEM_01
E101877,Priya Sharma,student,EEE,S10845,LAB_5,2025-08-29 20:10:00,20,29,4,LAB_102
E101877,Priya Sharma,student,EEE,S10845,LAB_102,2025-08-31 13:43:00,13,31,6,LAB_102
E101877,Priya Sharma,student,EEE,S10845,LAB_102,2025-08-31 14:37:00,14,31,6,LIB_2
E101877,Priya Sharma,student,EEE,S10845,LIB_2,2025-09-06 09:13:52,9,6,5,AUD_3
E101877,Priya Sharma,student,EEE,S10845,AUD_3,2025-09-19 03:08:00,3,19,4,AUD_5
E101877,Priya Sharma,student,EEE,S10845,AUD_5,2025-09-19 03:38:00,3,19,4,LIB_5
E105283,Ananya Kumar,student,Maths,S10879,LIB_2,2025-09-12 23:45:30,23,12,4,HOSTEL_3
E104164,Siddharth Gupta,student,CSE,S10897,LAB_1,2025-08-29 16:40:00,16,29,4,LIB_2
E104164,Siddharth Gupta,student,CSE,S10897,LIB_2,2025-09-04 05:17:32,5,4,3,AUD_5
